"date","CNP16OV"
"1959-06-30",115139.0
"1959-09-30",115551.0
"1959-12-31",115918.0
"1960-03-31",116708.0
"1960-06-30",117037.0
"1960-09-30",117411.0
"1960-12-31",117824.0
"1961-03-31",118254.0
"1961-06-30",118636.0
"1961-09-30",119001.0
"1961-12-31",119190.0
"1962-03-31",119379.0
"1962-06-30",119819.0
"1962-09-30",120368.0
"1962-12-31",121046.0
"1963-03-31",121640.0
"1963-06-30",122167.0
"1963-09-30",122670.0
"1963-12-31",123189.0
"1964-03-31",123708.0
"1964-06-30",124203.0
"1964-09-30",124739.0
"1964-12-31",125289.0
"1965-03-31",125814.0
"1965-06-30",126325.0
"1965-09-30",126745.0
"1965-12-31",127169.0
"1966-03-31",127511.0
"1966-06-30",127869.0
"1966-09-30",128234.0
"1966-12-31",128617.0
"1967-03-31",129044.0
"1967-06-30",129527.0
"1967-09-30",130166.0
"1967-12-31",130757.0
"1968-03-31",131267.0
"1968-06-30",131712.0
"1968-09-30",132250.0
"1968-12-31",132880.0
"1969-03-31",133476.0
"1969-06-30",134020.0
"1969-09-30",134595.0
"1969-12-31",135247.0
"1970-03-31",135950.0
"1970-06-30",136677.0
"1970-09-30",137456.0
"1970-12-31",138260.0
"1971-03-31",139034.0
"1971-06-30",139827.0
"1971-09-30",140603.0
"1971-12-31",141402.0
"1972-03-31",143005.0
"1972-06-30",143759.0
"1972-09-30",144523.0
"1972-12-31",145215.0
"1973-03-31",145964.0
"1973-06-30",146720.0
"1973-09-30",147478.0
"1973-12-31",148226.0
"1974-03-31",148987.0
"1974-06-30",149747.0
"1974-09-30",150498.0
"1974-12-31",151253.0
"1975-03-31",151987.0
"1975-06-30",152708.0
"1975-09-30",153579.0
"1975-12-31",154336.0
"1976-03-31",155075.0
"1976-06-30",155774.0
"1976-09-30",156527.0
"1976-12-31",157222.0
"1977-03-31",157911.0
"1977-06-30",158652.0
"1977-09-30",159430.0
"1977-12-31",160140.0
"1978-03-31",160829.0
"1978-06-30",161525.0
"1978-09-30",162265.0
"1978-12-31",163024.0
"1979-03-31",163756.0
"1979-06-30",164447.0
"1979-09-30",165200.0
"1979-12-31",166055.0
"1980-03-31",166762.0
"1980-06-30",167416.0
"1980-09-30",168111.0
"1980-12-31",168694.0
"1981-03-31",169279.0
"1981-06-30",169837.0
"1981-09-30",170413.0
"1981-12-31",170990.0
"1982-03-31",171497.0
"1982-06-30",172020.0
"1982-09-30",172522.0
"1982-12-31",173046.0
"1983-03-31",173505.0
"1983-06-30",173957.0
"1983-09-30",174449.0
"1983-12-31",174950.0
"1984-03-31",175679.0
"1984-06-30",176125.0
"1984-09-30",176595.0
"1984-12-31",177132.0
"1985-03-31",177522.0
"1985-06-30",177946.0
"1985-09-30",178413.0
"1985-12-31",178941.0
"1986-03-31",179825.0
"1986-06-30",180321.0
"1986-09-30",180836.0
"1986-12-31",181365.0
"1987-03-31",182001.0
"1987-06-30",182527.0
"1987-09-30",183016.0
"1987-12-31",183467.0
"1988-03-31",183967.0
"1988-06-30",184389.0
"1988-09-30",184840.0
"1988-12-31",185253.0
"1989-03-31",185773.0
"1989-06-30",186178.0
"1989-09-30",186602.0
"1989-12-31",187018.0
"1990-03-31",188520.0
"1990-06-30",188916.0
"1990-09-30",189353.0
"1990-12-31",189866.0
"1991-03-31",190272.0
"1991-06-30",190656.0
"1991-09-30",191121.0
"1991-12-31",191651.0
"1992-03-31",192075.0
"1992-06-30",192507.0
"1992-09-30",193024.0
"1992-12-31",193616.0
"1993-03-31",194106.0
"1993-06-30",194555.0
"1993-09-30",195068.0
"1993-12-31",195621.0
"1994-03-31",196085.0
"1994-06-30",196522.0
"1994-09-30",197050.0
"1994-12-31",197601.0
"1995-03-31",197882.0
"1995-06-30",198296.0
"1995-09-30",198807.0
"1995-12-31",199352.0
"1996-03-31",199776.0
"1996-06-30",200279.0
"1996-09-30",200850.0
"1996-12-31",201457.0
"1997-03-31",202396.0
"1997-06-30",202835.0
"1997-09-30",203367.0
"1997-12-31",203935.0
"1998-03-31",204395.0
"1998-06-30",204905.0
"1998-09-30",205483.0
"1998-12-31",206098.0
"1999-03-31",206876.0
"1999-06-30",207432.0
"1999-09-30",208044.0
"1999-12-31",208660.0
"2000-03-31",211586.0
"2000-06-30",212242.0
"2000-09-30",212919.0
"2000-12-31",213560.0
"2001-03-31",214101.0
"2001-06-30",214736.0
"2001-09-30",215422.0
"2001-12-31",216112.0
"2002-03-31",216664.0
"2002-06-30",217204.0
"2002-09-30",217868.0
"2002-12-31",218543.0
"2003-03-31",220109.0
"2003-06-30",220774.0
"2003-09-30",221513.0
"2003-12-31",222276.0
"2004-03-31",222356.0
"2004-06-30",222973.0
"2004-09-30",223680.0
"2004-12-31",224418.0
